🇨🇳󠁧󠁢󠁥󠁮潇洒频道,#genre#
CCTV1,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV2,http://metatvpro.xyz:25461/W1045/4329/394
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD_360/hls.m3u8
CCTV6,http://59.44.102.18:8888/newlive/live/hls/8/live.m3u8
CCTV7,https://z02.ubtvfans.com/live/rx1/2757/a75508a147ffe80a289d9674f341441d/index.m3u8
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,http://metatvpro.xyz:25461/W1045/4329/402
CCTV10,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV11,http://58.223.166.16/live2.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://59.44.102.18:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://metatvpro.xyz:25461/W1045/4329/406
CCTV14,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225513/index.m3u8
CCTV15,http://vod.cctv.cn/zhuanma/cms/cut/2019/2/24/OlyL20190224093100000CH00003604/CCTV15_2m_5a1d8ebfe31045d2877d226ebdf766ac.mp4
CCTV16,http://59.44.102.18:8888/newlive/live/hls/18/live.m3u8
CCTV17,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079503.m3u8

📺重庆频道,#genre#
重庆新闻,http://5f11df.tv.netsite.cc/proxy/1555453135/1555453135.m3u
重庆社会,http://iptviptv.site:9694/hls/164/index.m3u8
重庆时尚,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqssgwHD
重庆娱乐,http://iptviptv.site:9694/hls/166/index.m3u8
重庆少儿,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqseHD
重庆少儿,http://iptviptv.site:9694/hls/167/index.m3u8
重庆科教,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=CQTVkejiaoHD
重庆汽摩,http://iptviptv.site:9694/hls/169/index.m3u8
重庆新农村,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqggncHD
大足综合,http://iptviptv.site:9694/hls/188/index.m3u8
铜梁综合,http://iptviptv.site:9694/hls/172/index.m3u8
万州综合,http://123.146.162.24:8013/tslslive/L4cvRM0/hls/live_sd.m3u8
万州科教,http://iptviptv.site:9694/hls/174/index.m3u8
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
万州三峡移民,http://iptviptv.site:9694/hls/176/index.m3u8
武隆综合频道,http://iptviptv.site:9694/hls/177/index.m3u8
荣昌综合,http://iptviptv.site:9694/hls/178/index.m3u8
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
垫江综合,http://iptviptv.site:9694/hls/180/index.m3u8
巫山综合,http://iptviptv.site:9694/hls/181/index.m3u8
重庆黔江,http://iptviptv.site:9694/hls/161/index.m3u8
梁平综合,http://iptviptv.site:9694/hls/185/index.m3u8
永川综合,http://iptviptv.site:9694/hls/186/index.m3u8
酉阳综合,http://iptviptv.site:9694/hls/187/index.m3u8
🐼四川频道,#genre#
四川乡村,http://58.215.231.35/live3.ngaacdn.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8
四川妇女儿童,https://cntv.sbs/tv/v6.php?id=SCTV-7-
四川峨嵋电影,https://cntv.sbs/tv/v6.php?id=emdygqH265
四川影视文艺,https://cntv.sbs/tv/v6.php?id=SCTV-5-scysH265
四川文化旅游,http://118.122.2.29:9999/hls/52/index.m3u8
四川新闻,http://v2.91kds.cn/b9/sctv.m3u8?id=sctv4&auth=rinimabi
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
四川经济,https://cntv.sbs/tv/v6.php?id=SCTV-2-H265
成都公共频道,https://cntv.sbs/tv/v6.php?id=CDTV-5
成都影视文艺,https://cntv.sbs/tv/v6.php?id=CDTV-4
成都新闻综合,http://58.215.231.35/live3.ngaacdn.sc96655.com/live/CDTV-1_4000.m3u8
成都都市生活,https://cntv.sbs/tv/v6.php?id=CDTV-3
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8

📺港澳台,#genre#
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8
凤凰资讯,http://metatvpro.xyz:25461/W1045/4329/62
凤凰香港,http://cdn9.1678520.xyz/xsj2.1.php?id=phtv-hk
凤凰电影,http://117.114.153.25:8180/TV00000000000000000072@HHZT
翡翠台,http://113.83.152.56:8182/bynumber/1
明珠台,http://nz171l122.bb60246.ctm.net:8892/bysid/2.m3u8
星河台,http://cdn.1678520.xyz/tvbts/tvbts2.1.php?id=null-25
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
TVBS欢乐,http://37.27.111.214:8080/live/24/hls.m3u8
星空卫视,http://171.108.239.77:8181/tsfile/live/1012_1.m3u8
无线星河频道,http://113.64.145.55:8081/hls/135/index.m3u8
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
无线新闻,https://mytv.btjson.us.kg/stream/tvb/null-22/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
